fips,county,state_id,votes,obama,romney,johnson,stein,goode,write-ins,geography,anderson,reed,tittle,christensen,lindsay,harris,alexander,hoefling,barr,white,miller,stevens,terry,barnett,duncan,litzel,baldwin,fellure,morstad,carlson,washer,none,boss
01001,Autauga,AL,23973,6363,17379,137,22,31,41,County,,,,,,,,,,,,,,,,,,,,,,,
01003,Baldwin,AL,85491,18424,66016,607,169,122,153,County,,,,,,,,,,,,,,,,,,,,,,,
01005,Barbour,AL,11517,5912,5550,32,6,9,8,County,,,,,,,,,,,,,,,,,,,,,,,
01007,Bibb,AL,8420,2202,6132,38,9,13,26,County,,,,,,,,,,,,,,,,,,,,,,,
01009,Blount,AL,24060,2970,20757,170,50,59,54,County,,,,,,,,,,,,,,,,,,,,,,,
01011,Bullock,AL,5322,4061,1251,3,3,4,0,County,,,,,,,,,,,,,,,,,,,,,,,
01013,Butler,AL,9502,4374,5087,20,6,9,6,County,,,,,,,,,,,,,,,,,,,,,,,
01015,Calhoun,AL,46364,15511,30278,291,92,85,107,County,,,,,,,,,,,,,,,,,,,,,,,
01017,Chambers,AL,14629,6871,7626,78,15,21,18,County,,,,,,,,,,,,,,,,,,,,,,,
01019,Cherokee,AL,9792,2132,7506,79,26,36,13,County,,,,,,,,,,,,,,,,,,,,,,,
01021,Chilton,AL,17485,3397,13932,66,38,29,23,County,,,,,,,,,,,,,,,,,,,,,,,
01023,Choctaw,AL,7976,3786,4152,19,7,4,8,County,,,,,,,,,,,,,,,,,,,,,,,
01025,Clarke,AL,13860,6334,7470,22,14,11,9,County,,,,,,,,,,,,,,,,,,,,,,,
01027,Clay,AL,6679,1777,4817,42,16,10,17,County,,,,,,,,,,,,,,,,,,,,,,,
01029,Cleburne,AL,6319,971,5272,37,11,14,14,County,,,,,,,,,,,,,,,,,,,,,,,
01031,Coffee,AL,19821,4925,14666,111,33,35,51,County,,,,,,,,,,,,,,,,,,,,,,,
01033,Colbert,AL,23444,9166,13936,201,36,46,59,County,,,,,,,,,,,,,,,,,,,,,,,
01035,Conecuh,AL,7025,3555,3439,15,9,4,3,County,,,,,,,,,,,,,,,,,,,,,,,
01037,Coosa,AL,5282,2191,3049,19,8,2,13,County,,,,,,,,,,,,,,,,,,,,,,,
