STORMNAME,DTG,YEAR,MONTH,DAY,HHMM,MSLP,BASIN,STORMNUM,STORMTYPE,INTENSITY,SS,LAT,LON
GENESIS023,2017082718,2017,08,27,1800,0,al,11,DB,25,0,11.5,-16
GENESIS023,2017082800,2017,08,28,0000,0,al,11,DB,25,0,11.5,-17.8
INVEST,2017082806,2017,08,28,0600,1009,al,11,DB,25,0,11.6,-19.3
INVEST,2017082812,2017,08,28,1200,1009,al,11,LO,25,0,11.9,-20.5
INVEST,2017082818,2017,08,28,1800,1008,al,11,LO,25,0,12.3,-21
INVEST,2017082900,2017,08,29,0000,1008,al,11,LO,25,0,13,-21.4
INVEST,2017082906,2017,08,29,0600,1008,al,11,LO,25,0,14.1,-22.4
INVEST,2017082912,2017,08,29,1200,1008,al,11,LO,25,0,15.2,-23.7
INVEST,2017082918,2017,08,29,1800,1008,al,11,LO,25,0,15.5,-25.3
INVEST,2017083000,2017,08,30,0000,1008,al,11,LO,25,0,15.9,-26.6
INVEST,2017083006,2017,08,30,0600,1007,al,11,LO,35,0,16.2,-28
IRMA,2017083012,2017,08,30,1200,1006,al,11,TS,45,0,16.3,-29.8
IRMA,2017083018,2017,08,30,1800,1004,al,11,TS,50,0,16.3,-30.8
IRMA,2017083100,2017,08,31,0000,999,al,11,TS,55,0,16.3,-31.6
IRMA,2017083106,2017,08,31,0600,994,al,11,HU,65,1,16.4,-32.5
IRMA,2017083112,2017,08,31,1200,983,al,11,HU,80,1,16.7,-33.4
IRMA,2017083118,2017,08,31,1800,970,al,11,HU,95,2,17.1,-34.3
IRMA,2017090100,2017,09,1,0000,967,al,11,HU,100,3,17.5,-35.1
IRMA,2017090106,2017,09,1,0600,972,al,11,HU,95,2,17.9,-36.1
IRMA,2017090112,2017,09,1,1200,972,al,11,HU,95,2,18.4,-37.3
IRMA,2017090118,2017,09,1,1800,967,al,11,HU,100,3,18.8,-38.5
IRMA,2017090200,2017,09,2,0000,964,al,11,HU,100,3,19.1,-39.7
IRMA,2017090206,2017,09,2,0600,967,al,11,HU,100,3,19.1,-41.1
IRMA,2017090212,2017,09,2,1200,973,al,11,HU,95,2,18.9,-42.6
IRMA,2017090218,2017,09,2,1800,973,al,11,HU,95,2,18.7,-44.1
IRMA,2017090300,2017,09,3,0000,973,al,11,HU,95,2,18.5,-45.5
IRMA,2017090306,2017,09,3,0600,973,al,11,HU,95,2,18.2,-46.7
IRMA,2017090312,2017,09,3,1200,969,al,11,HU,100,3,17.9,-47.9
IRMA,2017090318,2017,09,3,1800,965,al,11,HU,100,3,17.7,-49.2
IRMA,2017090400,2017,09,4,0000,959,al,11,HU,100,3,17.3,-50.4
IRMA,2017090406,2017,09,4,0600,961,al,11,HU,100,3,17,-51.7
IRMA,2017090412,2017,09,4,1200,944,al,11,HU,105,3,16.8,-52.6
IRMA,2017090418,2017,09,4,1800,944,al,11,HU,115,4,16.7,-53.9
IRMA,2017090500,2017,09,5,0000,943,al,11,HU,120,4,16.7,-55.1
IRMA,2017090506,2017,09,5,0600,929,al,11,HU,135,4,16.6,-56.4
IRMA,2017090512,2017,09,5,1200,929,al,11,HU,155,5,16.7,-57.8
IRMA,2017090518,2017,09,5,1800,926,al,11,HU,160,5,16.9,-59.2
IRMA,2017090600,2017,09,6,0000,915,al,11,HU,160,5,17.2,-60.4
IRMA,2017090606,2017,09,6,0600,914,al,11,HU,160,5,17.7,-61.9
IRMA,2017090612,2017,09,6,1200,918,al,11,HU,160,5,18.1,-63.3
IRMA,2017090618,2017,09,6,1800,918,al,11,HU,160,5,18.5,-64.7
IRMA,2017090700,2017,09,7,0000,916,al,11,HU,160,5,19.1,-66
IRMA,2017090706,2017,09,7,0600,921,al,11,HU,155,5,19.7,-67.7
IRMA,2017090712,2017,09,7,1200,921,al,11,HU,150,5,20.1,-69
IRMA,2017090718,2017,09,7,1800,922,al,11,HU,150,5,20.7,-70.4
IRMA,2017090800,2017,09,8,0000,919,al,11,HU,150,5,21.1,-71.8
IRMA,2017090806,2017,09,8,0600,925,al,11,HU,140,5,21.5,-73.2
IRMA,2017090812,2017,09,8,1200,927,al,11,HU,130,4,21.8,-74.7
IRMA,2017090818,2017,09,8,1800,925,al,11,HU,135,4,22,-76
IRMA,2017090900,2017,09,9,0000,924,al,11,HU,140,5,22.1,-77.2
IRMA,2017090906,2017,09,9,0600,930,al,11,HU,140,5,22.3,-78.3
IRMA,2017090912,2017,09,9,1200,941,al,11,HU,115,4,22.7,-79.3
IRMA,2017090918,2017,09,9,1800,938,al,11,HU,110,3,23.1,-80.2
IRMA,2017091000,2017,09,10,0000,932,al,11,HU,105,3,23.4,-80.9
IRMA,2017091006,2017,09,10,0600,930,al,11,HU,115,4,23.7,-81.3
IRMA,2017091012,2017,09,10,1200,931,al,11,HU,115,4,24.5,-81.5
IRMA,2017091018,2017,09,10,1800,936,al,11,HU,100,3,25.6,-81.7
IRMA,2017091100,2017,09,11,0000,942,al,11,HU,90,2,26.8,-81.7
IRMA,2017091106,2017,09,11,0600,961,al,11,HU,75,1,28.2,-82.2
IRMA,2017091112,2017,09,11,1200,970,al,11,TS,60,0,29.6,-82.7
IRMA,2017091118,2017,09,11,1800,980,al,11,TS,45,0,30.9,-83.5
